chip,rom,ts,temperature,humidity
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:21:07.705Z,20.81,
,,2016-02-12T16:21:07.774Z,21.07,69.79
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:21:18.825Z,20.69,
,,2016-02-12T16:21:18.895Z,21.04,69.67
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:21:31.297Z,20.81,
,,2016-02-12T16:21:31.366Z,21.06,69.59
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:21:42.412Z,20.69,
,,2016-02-12T16:21:42.482Z,21.02,69.84
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:21:54.884Z,20.81,
,,2016-02-12T16:21:54.954Z,21.06,70.46
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:22:06.004Z,20.69,
,,2016-02-12T16:22:06.074Z,21.01,70.15
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:22:18.472Z,21.06,
,,2016-02-12T16:22:18.541Z,21.06,69.84
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:22:29.592Z,20.69,
,,2016-02-12T16:22:29.661Z,21.02,69.73
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:22:42.063Z,21.56,
,,2016-02-12T16:22:42.133Z,21.08,69.71
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:22:53.179Z,23.00,
,,2016-02-12T16:22:53.249Z,21.04,69.73
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:23:05.651Z,21.44,
,,2016-02-12T16:23:05.721Z,21.07,69.73
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:23:16.771Z,22.81,
,,2016-02-12T16:23:16.841Z,21.03,69.76
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:23:29.243Z,21.37,
,,2016-02-12T16:23:29.312Z,21.08,69.68
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:23:40.359Z,22.87,
,,2016-02-12T16:23:40.428Z,21.04,69.67
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:23:52.830Z,21.25,
,,2016-02-12T16:23:52.900Z,21.07,69.70
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:24:03.950Z,23.00,
,,2016-02-12T16:24:04.020Z,21.04,69.90
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:24:21.329Z,21.19,
,,2016-02-12T16:24:21.403Z,-40.01,-4.69
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:24:34.906Z,29.50,
,,2016-02-12T16:24:34.976Z,-40.01,-4.69
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:24:52.289Z,21.19,
,,2016-02-12T16:24:52.358Z,-40.01,-4.69
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:25:05.862Z,29.25,
,,2016-02-12T16:25:05.932Z,-40.01,-4.69
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:25:23.245Z,28.25,
,,2016-02-12T16:25:23.314Z,-40.01,-4.69
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:25:40.627Z,27.19,
,,2016-02-12T16:25:40.697Z,-40.01,-4.69
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:25:58.010Z,26.37,
,,2016-02-12T16:25:58.079Z,-40.01,-4.69
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:26:15.392Z,25.87,
,,2016-02-12T16:26:15.462Z,-40.01,-4.69
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:26:32.775Z,25.44,
,,2016-02-12T16:26:32.844Z,-40.01,-4.69
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:26:50.157Z,25.06,
,,2016-02-12T16:26:50.227Z,-40.01,-4.69
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:27:07.540Z,-0.06,
,,2016-02-12T16:27:07.609Z,-40.01,-4.69
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:27:21.113Z,-0.06,
,,2016-02-12T16:27:21.187Z,-40.01,-4.69
