ts,temp_4d,temp_5f,temp_6a,temp_sht1x,hum_sht1x,temp_sht1x2,hum_sht1x2,temp_sht1x3,hum_sht1x3
2016-03-17T12:55:14.848Z,19.3,18.9,21.4,19.5,62.8,19.2,62.2,19.3,65.2
2016-03-17T12:55:24.954Z,19.3,18.9,21.5,19.5,64.4,19.2,63.8,19.1,65.8
2016-03-17T12:59:36.457Z,19.3,18.8,21.4,19.4,59.1,19.1,58.5,,
